Price,Address1,Address2,Room,Shower,Car,Size
"$680,000 - $720,000","34A Napier Street,",SOUTH MELBOURNE VIC 3205,2 Beds,2 Baths,1 Parking,NG
"$550,000 - $600,000","8/3 Wando Grove,",ST KILDA EAST VIC 3183,2 Beds,1 Bath, Parking,NG
Contact Agent,"3/601 Toorak Road,",TOORAK VIC 3142,2 Beds,1 Bath,1 Parking,NG
"$770,000-$810,000","2/8 Merton Street,",IVANHOE VIC 3079,2 Beds,1 Bath,1 Parking,NG
Contact Agent,"45/6 Graham Street,",PORT MELBOURNE VIC 3207,2 Beds,2 Baths,2 Parking,NG
"$519,000 (Private Sale)","11/2 Thistle Grove,",HIGHETT VIC 3190,2 Beds,1 Bath,1 Parking,NG
"$500,000 - $550,000","5/4 Payne Street,",GLEN IRIS VIC 3146,2 Beds,1 Bath,1 Parking,NG
"$530,000-$570,000","12/10 Williams Road,",PRAHRAN VIC 3181,2 Beds,1 Bath,1 Parking,NG
"$650,000 - $699,000","5/3-5 Cromdale Street,",MOUNT MARTHA VIC 3934,2 Beds,1 Bath,2 Parking,NG
Auction Saturday 20th February at 11:30am,"3/10 True Avenue,",CARRUM VIC 3197,3 Beds,2 Baths,2 Parking,NG
"$700,000-$735,000","1/106 Brown Street,",HEIDELBERG VIC 3084,2 Beds,1 Bath,1 Parking,NG
"$635,000 - $685,000","5/107 Flinders Street,",THORNBURY VIC 3071,3 Beds,1 Bath,1 Parking,NG
"$420,000 - $450,000","1/17 Mayne Street,",SUNSHINE WEST VIC 3020,2 Beds,1 Bath,1 Parking,NG
"$850,000-$900,000","98A Marshall Street,",IVANHOE VIC 3079,2 Beds,1 Bath,1 Parking,NG
"$590,000 - $640,000","3/380 Orrong Road,",CAULFIELD NORTH VIC 3161,2 Beds,1 Bath,1 Parking,NG
"$550,000 - $600,000","1/49 Gourlay Street,",ST KILDA EAST VIC 3183,3 Beds,1 Bath,1 Parking,NG
"$850,000 - $900,000","3/267 Grange Road,",ORMOND VIC 3204,3 Beds,2 Baths,1 Parking,NG
"$760,000 - $825,000","10/35 Dickens Street,",ELWOOD VIC 3184,2 Beds,2 Baths,1 Parking,NG
380000,"610/233 Collins Street,",MELBOURNE VIC 3000,2 Beds,1 Bath, Parking,NG
"$570,000 - $590,000","911/15 Clifton Street,",PRAHRAN VIC 3181,2 Beds,2 Baths,2 Parking,NG
"1, 2 and 3 Bed To Choose From!","G10,306,504/6 Dalgety Street,",OAKLEIGH VIC 3166,3 Beds,2 Baths,2 Parking,NG
