Price,Address1,Address2,Room,Shower,Car,Size
"$700,000 - $770,000","5/31-33 Kokaribb Road,",CARNEGIE VIC 3163,2 Beds,1 Bath,1 Parking,NG
"$470,000 - $517,000","2/625 Centre Road,",BENTLEIGH EAST VIC 3165,2 Beds,1 Bath,1 Parking,NG
Contact Agent,"103/111 Poath Road,",MURRUMBEENA VIC 3163,2 Beds,1 Bath,1 Parking,NG
"$550,000 - $590,000","8/573-577 Glen Huntly Road,",ELSTERNWICK VIC 3185,2 Beds,1 Bath,1 Parking,NG
"$479,000-$499,000","8/207-209 Centre Road,",BENTLEIGH VIC 3204,2 Beds,1 Bath,1 Parking,NG
"$630,000 - $690,000","3/15 Manchester Grove,",GLEN HUNTLY VIC 3163,2 Beds,2 Baths,1 Parking,NG
"$720,000 - $770,000","5/7 Park Avenue,",GLEN HUNTLY VIC 3163,3 Beds,1 Bath,1 Parking,NG
"For Sale $529,000","G02/67b Poath Road,",MURRUMBEENA VIC 3163,2 Beds,2 Baths,1 Parking,NG
"$550,000 - $595,000","11/106 Murrumbeena Road,",MURRUMBEENA VIC 3163,2 Beds,1 Bath,1 Parking,NG
"$690,000-$710,000","4/13 Maroona Road,",CARNEGIE VIC 3163,2 Beds,2 Baths,1 Parking,NG
"$699,000","106/13-15 Hamilton Street,",BENTLEIGH VIC 3204,2 Beds,2 Baths,1 Parking,NG
"$420,000","87/115 Neerim Road,",GLEN HUNTLY VIC 3163,2 Beds,1 Bath,1 Parking,NG
"$550,000-$560,000","110/39 Mavho Street,",BENTLEIGH VIC 3204,2 Beds,2 Baths,1 Parking,NG
"$400,000","9/25 Lillimur Road,",ORMOND VIC 3204,2 Beds,1 Bath,1 Parking,"1,014m"
"$495,000","102/495 South Road,",BENTLEIGH VIC 3204,2 Beds,1 Bath,1 Parking,NG
"$699,000","206/7-11 Belsize Avenue,",CARNEGIE VIC 3163,2 Beds,2 Baths,1 Parking,NG
"Private Sale $590,000 - $630,000","102/16 Tranmere Avenue,",CARNEGIE VIC 3163,2 Beds,2 Baths,1 Parking,NG
"$629,000","303/112 Mimosa Road,",CARNEGIE VIC 3163,2 Beds,2 Baths,1 Parking,NG
"$660,000 to $715,000","105/3 Claire Street,",MCKINNON VIC 3204,2 Beds,2 Baths,2 Parking,NG
"$510,000 - $560,000","201/14 Maroona Road,",CARNEGIE VIC 3163,2 Beds,2 Baths,1 Parking,NG
"$625,000","107/16 Etna Street,",GLEN HUNTLY VIC 3163,2 Beds,2 Baths,1 Parking,NG
"$580,000 - $600,000","7/273 Grange Rd,",ORMOND VIC 3204,2 Beds,1 Bath,1 Parking,NG
"$440,000 - $480,000","7/12 Brentwood Street,",BENTLEIGH VIC 3204,2 Beds,1 Bath,1 Parking,NG
"$600,000 - $660,000","1/112-118 Gardenvale Road,",GARDENVALE VIC 3185,2 Beds,1 Bath,1 Parking,NG
"$585,000","G03/24-26 Mavho Street,",BENTLEIGH VIC 3204,2 Beds,1 Bath,1 Parking,NG
"$530,000 - $580,000","302/451 South Road,",BENTLEIGH VIC 3204,2 Beds,2 Baths,1 Parking,NG
"$590,000 - $630,000","102/677 Glen Huntly Road,",CAULFIELD VIC 3162,2 Beds,2 Baths,1 Parking,NG
"$580,000 - $630,000","113/3-9 Elliott Avenue,",CARNEGIE VIC 3163,2 Beds,2 Baths,1 Parking,NG
"$440,000 - $465,000","301/633 Centre Road,",BENTLEIGH EAST VIC 3165,2 Beds,1 Bath,1 Parking,NG
"$600,000 - $660,000","3/21 Shepparson Avenue,",CARNEGIE VIC 3163,3 Beds,1 Bath,1 Parking,NG
"$700,000 - $750,000","2/16 Weeroona Road,",MURRUMBEENA VIC 3163,2 Beds,1 Bath,1 Parking,NG
"$480,000 - $500,000","303/1B Kokaribb Road,",CARNEGIE VIC 3163,2 Beds,1 Bath,1 Parking,NG
