Price,Address1,Address2,Room,Shower,Car,Size
Contact Agent,"7/5 Wattle Avenue,",GLEN HUNTLY VIC 3163,2 Beds,1 Bath,1 Parking,NG
"$520,000 - $570,000","107/16 Etna Street,",GLEN HUNTLY VIC 3163,2 Beds,2 Baths,1 Parking,NG
"$420,000 - $460,000","102/3 Morton Avenue,",CARNEGIE VIC 3163,2 Beds,1 Bath,1 Parking,NG
"$570,000 - $620,000","13/488 Glen Huntly Road,",ELSTERNWICK VIC 3185,2 Beds,1 Bath,1 Parking,NG
"$500,000 - $550,000","3/35 Tranmere Avenue,",CARNEGIE VIC 3163,2 Beds,2 Baths,1 Parking,NG
"$600,000 - $660,000","10/20 Grange Road,",CARNEGIE VIC 3163,2 Beds,1 Bath,1 Parking,NG
Contact Agent,"208/25 Truganini Road,",CARNEGIE VIC 3163,3 Beds,2 Baths,2 Parking,NG
"$365,000 - $400,000","91/115 Neerim Road,",GLEN HUNTLY VIC 3163,2 Beds,1 Bath,1 Parking,NG
"$680,000 - $720,000","1/6 Lillimur Road,",ORMOND VIC 3204,2 Beds,1 Bath,2 Parking,NG
"$600,000 - $630,000","108/25 Nicholson Street,",BENTLEIGH VIC 3204,2 Beds,2 Baths,1 Parking,NG
"$580,000 - $600,000","303/14-16 Elliott Avenue,",CARNEGIE VIC 3163,2 Beds,2 Baths,1 Parking,NG
"$620,000 - $640,000","G06/14-16 Elliott Avenue,",CARNEGIE VIC 3163,2 Beds,2 Baths,1 Parking,NG
"$550,000 - $570,000","104/14-16 Elliott Avenue,",CARNEGIE VIC 3163,2 Beds,2 Baths,1 Parking,NG
"$650,000 - $700,000","1/10 Kokaribb Road,",CARNEGIE VIC 3163,3 Beds,1 Bath,1 Parking,NG
"$530,000 - $580,000","404/67 Poath Road,",MURRUMBEENA VIC 3163,2 Beds,2 Baths,1 Parking,NG
"$550,000 - $600,000","2/25 Whitmuir Road,",BENTLEIGH VIC 3204,2 Beds,1 Bath,1 Parking,NG
"$550,000-$570,000","10/3 Faulkner Street,",BENTLEIGH VIC 3204,2 Beds,2 Baths,1 Parking,NG
"$590,000 - $620,000","102/3 Elliott Avenue,",CARNEGIE VIC 3163,2 Beds,2 Baths,1 Parking,NG
"$599,500 - $609,500","7/1 ST GEORGES AVENUE,",BENTLEIGH EAST VIC 3165,2 Beds,2 Baths,1 Parking,78m
"Private Sale $570,000","4/1260 Glen Huntly Road,",CARNEGIE VIC 3163,2 Beds,1 Bath,1 Parking,NG
"$549,950","1/297 Jasper Road,",ORMOND VIC 3204,2 Beds,1 Bath,1 Parking,NG
"$700,000 - $770,000","2/9 Macgowan Avenue,",GLEN HUNTLY VIC 3163,2 Beds,1 Bath,1 Parking,720m
"$450,000 - $490,000","14/30 Lillimur Road,",ORMOND VIC 3204,2 Beds,1 Bath,1 Parking,NG
"$750,000 - $810,000","5/15 Booran Road,",CAULFIELD VIC 3162,2 Beds,1 Bath,1 Parking,NG
"$480,000 - $520,000","3/21 Lillimur Road,",ORMOND VIC 3204,2 Beds,1 Bath,1 Parking,NG
AUCTION SATURDAY 20 FEBRUARY AT 12.00PM,"Unit 1/4 Lydia St,",BENTLEIGH VIC 3204,3 Beds,1 Bath,1 Parking,NG
"Private Sale $599,000","4/15 Bent Street,",BENTLEIGH VIC 3204,2 Beds,2 Baths,1 Parking,NG
"$439,000","9/1126 North Road,",BENTLEIGH EAST VIC 3165,2 Beds,1 Bath,1 Parking,NG
"$640,000 - $690,000","507/28 Riddell Parade,",ELSTERNWICK VIC 3185,2 Beds,2 Baths,1 Parking,NG
Contact Agent,"6/18 King Street,",ELSTERNWICK VIC 3185,2 Beds,1 Bath,1 Parking,NG
"$675,000","207/13-15 Hamilton Street,",BENTLEIGH VIC 3204,2 Beds,2 Baths,1 Parking,86m
"$680,000-$700,000","10/22 Bent Street,",BENTLEIGH VIC 3204,2 Beds,2 Baths,1 Parking,NG
"$550,000 - $575,000","109/147 Neerim Road,",GLEN HUNTLY VIC 3163,2 Beds,2 Baths,1 Parking,NG
"$429,000","120/115 Neerim Road,",GLEN HUNTLY VIC 3163,2 Beds,1 Bath,1 Parking,NG
"$680,000-$690,000","6/92 Mimosa Road,",CARNEGIE VIC 3163,2 Beds,2 Baths,1 Parking,NG
